name,suspension_ends_mm_dd_yyyy
"chavez, bernabe",09/01/2025
"prempeh, ernest",indefinite*
"daniels, jamaal",07/26/2025
"pearson, keir",lifetime
"glasgow, scott",08/09/2023
"brown, jeffrey",09/29/2023
"salazar, alberto",09/29/2023
"bell, kenta",lifetime
"gingras, michael",01/15/2029
"drummond, jon",12/16/2022
"bruyneel, johan",lifetime
"marti, jose",06/11/2027
"celaya lazama, pedro",lifetime
"ferrari, dr. michele",lifetime
"leinders, dr. geert",lifetime
"korchemny, remi",lifetime
"stewart, raymond",lifetime
"graham, trevor",lifetime
